DEBUG 2025-07-27 17:41:17,572 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\shortcuts.py first seen with mtime 1753647380.4436927
DEBUG 2025-07-27 17:41:17,572 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\socketserver.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,572 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\db\backends\sqlite3\schema.py first seen with mtime 1753647568.2015283
DEBUG 2025-07-27 17:41:17,580 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1753647534.2936325
DEBUG 2025-07-27 17:41:17,580 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\core\management\color.py first seen with mtime 1753647564.4534762
DEBUG 2025-07-27 17:41:17,580 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\views\generic\base.py first seen with mtime 1753647580.1134343
DEBUG 2025-07-27 17:41:17,580 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\email\mime\multipart.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,588 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1753647569.8640764
DEBUG 2025-07-27 17:41:17,588 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\contextvars.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,591 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\db\migrations\operations\fields.py first seen with mtime 1753647568.8467329
DEBUG 2025-07-27 17:41:17,596 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1753647562.1980393
